,precision,recall,f1-score,support
1,0.3333333333333333,0.011111111111111112,0.021505376344086023,90.0
2,0.6428571428571429,0.012658227848101266,0.02482758620689655,711.0
3,0.7837837837837838,0.17575757575757575,0.2871287128712871,165.0
4,0.6374367622259697,0.564179104477612,0.5985748218527316,1340.0
5,0.0,0.0,0.0,51.0
6,1.0,0.027777777777777776,0.05405405405405406,36.0
7,0.18421052631578946,0.16374269005847952,0.17337461300309598,171.0
8,0.6825352892333241,0.6999716151007664,0.6911434977578476,3523.0
9,0.3,0.013636363636363636,0.02608695652173913,220.0
10,0.16574585635359115,0.16042780748663102,0.16304347826086957,187.0
11,0.5,0.018518518518518517,0.03571428571428571,54.0
12,0.728171334431631,0.33663366336633666,0.46041666666666664,1313.0
13,0.8461538461538461,0.08461538461538462,0.15384615384615385,130.0
14,0.6325581395348837,0.36363636363636365,0.4617996604414261,748.0
15,0.3291139240506329,0.10144927536231885,0.15509160630592245,1794.0
16,0.15151515151515152,0.125,0.136986301369863,200.0
17,0.0,0.0,0.0,13.0
18,0.7265116279069768,0.5275244849712935,0.6112306789278028,2961.0
19,0.0,0.0,0.0,11.0
20,0.11299435028248588,0.11764705882352941,0.11527377521613832,170.0
21,0.0,0.0,0.0,133.0
22,0.5555555555555556,0.017241379310344827,0.033444816053511704,290.0
23,0.0,0.0,0.0,37.0
24,0.0,0.0,0.0,61.0
25,0.35438902199956435,0.4489514348785872,0.3961046865489957,3624.0
26,0.5723270440251572,0.3704206241519674,0.4497528830313015,737.0
27,0.8,0.064,0.11851851851851852,125.0
28,0.0,0.0,0.0,18.0
29,0.1796116504854369,0.1989247311827957,0.18877551020408162,186.0
30,0.08888888888888889,0.09580838323353294,0.09221902017291066,167.0
31,0.155,0.15979381443298968,0.15736040609137056,194.0
32,0.5888190288614499,0.887430071926019,0.7079234972677596,8759.0
33,0.609375,0.10803324099722991,0.18352941176470589,361.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,39.0
accuracy,0.546734686746567,0.546734686746567,0.546734686746567,0.546734686746567
macro avg,0.36173963593698844,0.16728259150461802,0.1856493421432578,28619.0
weighted avg,0.5527798861669937,0.546734686746567,0.5107865414669687,28619.0
